customer_id,umur,penghasilan_juta,spending_score,segment_label
1d94be7b-5934-4d9d-be2c-671cabe8a54e,27,3.28,3.48,low
96c2ca53-359f-48b6-907e-d236dfdc6986,43,8.96,5.27,middle
b7a173f3-6184-4364-a374-383819ce6cbf,31,9.69,5.26,middle
99f261cc-4d08-4227-811e-066c2938616e,37,5.92,6.58,middle
f60a60ee-e43d-441e-b81d-af20d33578a8,35,11.5,7.74,middle
d8c1b236-22c8-4236-8453-694d8be10d0f,25,3.36,3.25,low
5f3a330f-091c-4da8-974f-41c316388534,19,3.11,3.02,low
8459e863-0a8d-448a-bfe6-1f5abb04b97d,23,4.14,4.52,low
d41eb538-3833-48b6-9ce1-7877f8d0f495,34,6.1,7.33,middle
5ded6b24-21bf-490d-aaab-d5782052994e,44,23.4,9.96,high
01909ad2-8723-460f-bbbd-064cbfa34e32,51,13.13,9.45,high
931e10f7-51e1-4e6a-a1ed-207db91a4bc9,28,11.57,4.54,middle
4f0756bb-6c5d-47ca-80d8-39a3930e3f42,19,3.73,1.62,low
1bddfdac-d8c7-4eab-a720-7067f9c5b9a0,44,6.47,5.37,middle
0fc3fdc7-b22a-4687-a994-325b4bfa6b28,55,27.5,8.52,high
28985f54-f3d2-4ff2-a5ef-40f0ea3aac63,26,5.65,5.69,middle
727979c6-60fa-4133-8fa5-50d0e48e1095,26,5.02,7.08,middle
b25e56fa-70a4-4d68-b125-b88c5532a1da,43,15.75,8.33,high
1e57ec18-268e-48b6-b484-cba7c3976e29,48,22.54,7.34,high
875a48d2-116a-4212-b456-cd4a169dc135,63,15.53,7.11,high
0678993a-f774-4723-9670-9c4bae5219de,43,8.87,5.72,middle
936bd972-b1d2-487a-b381-8e4bbbec1b6c,22,2.59,4.73,low
a6606597-c0a9-48c4-a2cd-0f63b4347da6,23,2.13,2.0,low
b99fbe17-e4ea-4095-a912-941a23703b9b,23,3.84,4.54,low
534bdb4f-404b-40b2-a4cd-1a28dbc681ce,44,10.25,7.7,middle
0592c077-57b8-4ef0-9a48-84599f618eb3,20,4.43,4.24,low
7bb1df82-fc52-464d-b132-517e71c44327,25,6.26,7.7,middle
715784a4-8099-42ef-bd5f-03cbcfc938d8,32,6.87,7.15,middle
7b6227a9-c6d0-49b3-be00-b18e3fd28d5c,24,4.12,4.43,low
a8c92161-021a-453c-b71c-82b0dfdf8a95,21,3.95,2.84,low
7a9b7b5d-0531-4318-a3f1-bec987eb80e6,32,6.56,6.64,middle
2b0aaef5-a467-4f2b-99b1-182ce5753e4a,35,6.95,4.28,middle
fec1318b-94d5-4e32-bc2f-1403b461c2bf,36,9.49,5.6,middle
91d45877-7113-46e6-8019-32ede964dbd2,45,28.97,7.35,high
a9451f80-f4e8-46aa-b4be-ea7883c896be,30,9.06,7.93,middle
3697fe57-5159-4f10-9d3d-7fd344b1151c,19,3.29,2.38,low
d6fb158e-e278-41cc-9971-bd2b5c7a3922,38,9.24,6.05,middle
931ca830-a894-4464-b243-f038c67b3810,43,6.33,4.18,middle
cd5e9354-c2a2-4d25-abb2-23e64e8e66c2,25,8.64,7.23,middle
5567d5c8-6590-4f55-b910-67123692a98d,58,28.98,9.21,high
5829c39c-ee8b-4ba4-a455-f53b733291a8,23,2.79,4.8,low
b6453107-13d1-499c-9f39-99b0b502a147,44,7.2,7.39,middle
61c6d421-4a7c-4acb-9761-0ffad3db9b75,63,18.11,7.93,high
60113bb9-166e-4958-83c1-9da87b5d5071,35,7.82,5.18,middle
60cff274-8c00-4a6c-a5c7-bbe57daef8d2,21,2.76,4.76,low
b118da4a-c1ac-41b7-b000-d2298dcb2f79,58,28.35,8.85,high
8875fc77-7ed7-4b5a-b448-d364e25135ef,37,8.84,4.0,middle
3d66d26d-db81-44fe-a302-fe30c508d164,31,8.01,6.32,middle
3b358daf-978b-4599-ba31-e733bff60a8e,45,20.9,8.33,high
322d8753-1a44-4572-a6b0-9a5a13f29d98,26,2.92,4.6,low
b68a7b8a-719b-4dac-9cd4-f6eff726b322,40,24.2,7.85,high
b05e1bc5-d199-4bda-8b2f-d66659e67734,55,23.53,7.28,high
d917f1e2-4cd4-486b-bdfd-e493be63f1d7,28,2.43,4.23,low
9c09c189-6ef7-4158-b546-2b47fee2f5f0,18,1.64,4.94,low
ab0d643d-24d3-4424-8049-2dec0e9d8438,62,26.06,8.37,high
62208eb7-c435-45aa-8f55-b2bafa456112,53,16.31,9.09,high
9b7c3d00-6ccc-4020-85e1-30d0107708ee,37,6.71,6.62,middle
62a54d83-5dbf-4bfd-818a-56f25ae6404f,19,3.84,1.88,low
0d67abc7-2833-4ae8-9528-48b8347e359e,51,20.9,8.67,high
9d5a7b94-a369-40df-a2ce-602cd4f7cb40,25,1.9,2.86,low
18104ecf-1533-4bfb-9d6f-81d80cdda2f4,52,23.12,9.85,high
6c9a235e-978a-4ea1-a567-902299a7c5b1,44,10.71,7.57,middle
dd576f87-c94c-4a7b-a1ef-705f4b417067,42,8.12,4.64,middle
810ed7e0-88e8-4524-bb88-83d307d9f7cb,39,6.81,4.99,middle
c83ab00e-b107-44f1-b300-b25c21e255e3,43,26.02,8.56,high
b8544699-a67d-45f8-8d76-e2d8ab5cdfac,42,17.67,7.23,high
97481772-bcd1-41ba-acb3-857cc69a377e,32,6.9,5.28,middle
f2cb0191-216c-4862-b8f5-384e5d3e136b,37,15.35,7.69,high
36d1e549-3a37-47bb-9cf3-056dd8014d4b,39,25.01,7.19,high
16489e0f-d52d-4b5a-bb82-d42f860e4368,35,8.8,5.66,middle
4a2dcf17-5d39-4b6a-bb24-12cfeb6e18fe,24,2.67,4.08,low
65dce422-2f48-49ca-b228-62767a63d659,35,27.56,9.3,high
7ffe47d5-3f79-4b42-aa41-4ec6e6eeab9e,40,5.04,5.41,middle
fba75567-04c9-4ec5-8084-08fb58a890ee,38,8.77,6.94,middle
2edb9f2b-44e6-4c34-90cf-9d0a9c591053,63,16.75,7.66,high
a4627487-390d-403a-bdef-cc7d1e765c4b,40,5.2,5.34,middle
c13b7a9d-deca-40f5-ab7c-29423d2b9176,60,19.87,7.5,high
699027d9-3a66-40a6-98a9-9d787a9dff2f,29,11.87,6.14,middle
39f0e76e-dd7d-4e9f-a8be-6946c9e453a7,43,8.95,4.11,middle
52e3dd71-c708-4ae7-bb74-7fb4f217aae4,48,15.31,8.39,high
22e260ca-1bf9-471c-a0e7-da1ead32673f,22,2.64,1.85,low
c66f62f0-7127-4f01-97fc-4fd0fd1e6fa8,35,10.33,5.52,middle
17bc2c81-cbcd-4692-89df-bd1ef13379c8,33,10.84,5.88,middle
70608c9c-aedc-4317-bf17-1e5bd3e42197,52,13.89,9.86,high
dc41e9d2-20d7-4a4b-a903-51214f39e073,28,1.71,4.83,low
5b2a9866-7eba-45f9-851e-28ef4be8c146,18,4.35,1.8,low
5b2b89f6-d5d2-4971-ba0d-347919dbeaa8,27,1.96,1.5,low
77e4577f-f36b-4019-80fe-f0453fa35223,38,22.59,7.65,high
7344da99-ac7b-4b7b-a07b-34c676290658,43,26.04,7.5,high
5c66b9e6-94d6-4600-a50b-1a5738a50b31,65,25.71,7.34,high
d80b1a09-fb8c-4435-8b2a-a9af12d229f1,22,1.82,1.1,low
0c855226-784a-48c8-be9f-f0243a74d76e,43,9.74,7.83,middle
6daf74a0-b640-40aa-9a1c-342cbc7de086,31,5.53,6.76,middle
fd1160e7-0c05-496f-a3b0-770735fab805,42,14.73,9.32,high
a56719c2-f45a-48c5-9027-69c87368ac06,54,26.69,9.39,high
bc87407b-aa00-4c4d-81c4-b39c8db97b45,60,13.7,8.6,high
55f2ef25-eba6-4bd3-b870-4b31abc70331,46,14.17,8.94,high
26f1716d-77ea-460a-8ef9-ed097e457c22,24,3.97,1.42,low
457334c9-d826-4b36-bdd2-fe92b23ff11b,45,11.24,5.84,middle
aaec4cee-ca6f-4e54-9a41-56218e8c0013,24,2.03,3.09,low
721efa96-03f8-409e-9598-10c8631e47d8,43,23.47,9.76,high
cfb371cd-fa2c-4ecc-bb39-3da6b5b44690,39,8.05,6.92,middle
f2737fd9-ddc5-4749-af35-950bd6b19f17,35,10.96,7.32,middle
bb955750-f8bd-45b1-98bc-6a3dcf596381,22,4.14,1.98,low
a998092b-9f5f-494c-9534-e4a1095f0104,43,9.27,5.52,middle
d74095b0-9c63-48e2-846e-4649175a6352,25,4.05,1.73,low
7cf8c434-bd10-4a2f-b4e2-cabfa8e0616d,23,3.89,2.36,low
82a05cef-f0ab-40ad-8d97-14c6e50096aa,57,27.96,8.67,high
b27588ed-7278-462c-82cd-c0f308971c0e,65,16.25,7.72,high
3a46570d-02c9-4a57-876e-eea3f6c56a1a,40,8.89,4.96,middle
2dfe007a-7e07-4d27-bbdd-19245a8a39bd,45,9.98,5.79,middle
92b4ed62-8be8-4136-9e52-7000a93228b8,19,2.38,2.62,low
8db75b79-615a-4a13-befc-1327f0facc33,22,3.49,2.48,low
bb3bbfb8-66e9-46c1-9730-d2c0f00f2794,51,18.84,9.99,high
c92c950d-667e-4bc6-b906-4c41c1523b74,45,18.98,8.36,high
78b41c03-50d3-4bd7-872f-0fc1463cb6f1,33,6.61,6.89,middle
4b5cb80e-695d-4170-9573-95c492e00ee2,28,10.2,7.8,middle
522cb349-c4bb-4cb6-b9c9-08087ee8208d,40,16.26,9.22,high
b0981827-b222-4075-b1eb-8a6a72b1d84a,43,11.84,6.1,middle
b461f67e-1398-4da6-a8ae-c887b2ea5c3d,28,10.83,5.18,middle
aa03d4b4-6d00-4d08-8f79-5a127fbbb4f4,30,7.12,6.83,middle
6c013b16-d81e-4236-829b-4dacc9e0da14,22,1.64,1.22,low
11f14ac3-28d2-43a3-80d9-3b197fd9669f,29,9.47,7.01,middle
94edd1b7-3842-4209-8f1e-0c767942c191,18,3.22,2.88,low
5add84fa-ff4c-46df-9524-e74af645bc6f,35,6.29,4.21,middle
9a9d0852-5a42-4bd0-98bd-64edb88d84a5,28,10.75,5.6,middle
56e6ab01-adae-4909-803e-eb30aa5acbb2,27,3.39,1.21,low
ebe9b72b-edf4-45e2-89c3-c29a00e48257,27,4.35,1.34,low
e4cd2eb3-74b3-4aa7-a0ca-87d6c5e2a0a3,19,3.17,2.66,low
d1c5b338-f6e4-494c-bc3a-809d77bff901,60,23.51,9.33,high
60b8df57-202b-44de-aaaf-5b19119ec243,39,11.36,5.19,middle
2349fa4a-3dba-425c-a394-df5caed7b3d4,48,18.19,8.86,high
f7185cfe-b2a3-4fe6-8fed-39071c1d2c4f,65,25.58,9.84,high
c51df87a-0c97-4d1c-b4fa-427ec71607ba,28,2.13,3.64,low
5c0aa65a-7e3a-4ece-98b6-a9ccde36910a,21,2.02,1.3,low
ae2b06c7-66a4-4683-b448-d14a580a857f,24,2.85,3.38,low
0ebb1473-6bb7-4b3e-8a05-07f01905e1af,26,6.62,6.83,middle
c8bf320f-95cd-4196-9472-876bd61e3123,62,20.72,9.06,high
81e04d70-1f12-4646-81ae-1e54a562ceea,45,9.13,7.22,middle
fa42c563-8c1d-4a62-8625-53fa693c3435,24,1.84,1.9,low
f594290f-ae22-4f22-b279-e761e5a47fec,22,3.98,1.29,low
38a7aebb-caf7-4d04-9345-c3b4728e2cf9,22,3.29,4.3,low
f720b70b-8d4c-4637-a3fe-d1bff8f95477,39,5.87,6.75,middle
4e27c2f5-e2b7-4ba6-8f23-439813847ceb,47,29.03,8.5,high
7e132278-bff0-4946-b74a-9849bacf8d90,39,5.56,4.16,middle
75ce605e-55b8-4366-adc9-a4eeb1c5382d,35,9.23,4.1,middle
49759af0-47f9-411a-9c81-97a9239d372b,28,4.01,3.3,low
304d30ce-f15b-4e01-a25c-1883a56d49a8,28,3.96,3.3,low
7a9d5b27-1c39-45be-b99f-94f5a8121ada,25,3.06,2.77,low
0aa28767-216c-4787-91a2-632e39661c99,30,11.98,5.74,middle
c04d08ce-3258-400e-b9c6-cb762bd9bb5b,27,8.29,5.63,middle
5404792c-d8cd-4e27-b72b-1cdf594dbf2a,28,11.0,5.32,middle
335ecce7-8d69-493c-81d6-f8bfa24a7c11,50,17.9,9.84,high
9b811741-e012-4dbb-a7ad-a40baa4891a9,36,20.73,7.94,high
aefeaabe-f375-442c-9c5c-562f92870e76,28,11.79,5.62,middle
86f0fd9f-dc2d-49be-9820-34b067af3e5a,61,29.8,8.97,high
ba69b7b4-f3de-46e4-8adb-0791d5b7891e,49,20.03,7.56,high
1067becb-8ea5-4a89-bc83-c9e89f0f4139,44,10.3,6.5,middle
01a0020a-c02d-49e7-bec5-bb34d13dd35c,21,2.3,1.52,low
38c0c115-ca2e-4e16-bdff-33fc91f55427,39,11.17,5.94,middle
a9c0e318-449c-4a6d-a4b5-987b395c165f,28,3.33,1.96,low
318dd373-2f06-4e46-b9b7-a9fd0d0caf8a,22,3.15,3.21,low
fde087ba-2e7d-49df-9519-99c21ac22aa3,21,4.48,4.65,low
8a72e066-6b6c-4d62-86f9-eac81c663546,28,9.53,4.62,middle
1fcdd0bc-10cd-40e2-9fe9-51e9f9332ac1,44,21.65,7.82,high
30674a96-615b-4280-9b5f-c454925e67be,40,6.71,6.21,middle
a9f67665-a9d1-4333-bdb1-87aa3c45a9b1,31,11.45,6.03,middle
2a88909f-e9fd-4762-93a9-efc55b68ac8a,19,2.33,4.16,low
9d83958c-4deb-4488-b0e9-ccd8b1190258,35,11.54,6.03,middle
d88ab197-dda0-4358-a660-86595d8083a6,22,3.68,4.35,low
afc672e7-09aa-448e-b567-3664142a1ed0,56,21.32,7.45,high
4e8ccd86-253c-4830-87f9-ceed900b8207,50,18.87,8.66,high
9e33a754-da0b-4749-aa82-cdccaa6e0c04,47,20.74,7.97,high
1480a471-2b6f-413d-82a0-1e269ee85c00,21,3.22,1.93,low
c224e7ef-a49c-4a63-9aee-23a0fe5da667,26,7.23,5.89,middle
4c94bf4e-5ca6-46aa-9180-d6f0652dcab4,37,11.92,7.17,middle
77b73cb5-4ad1-49c9-8dda-9f800ad1c933,39,21.42,7.11,high
d382fc19-a3ab-4543-8e87-232741f9b027,65,23.03,9.61,high
58300706-45ed-43e3-a419-20c072c1a652,28,8.68,5.83,middle
6e54f20b-8492-4ba3-a87c-869fa628bd43,39,19.97,8.96,high
b118d484-c9d7-4477-8aef-9ef2c524fbb5,19,2.91,4.88,low
ac30fba1-506f-4756-9078-90546dd76d9a,44,9.85,6.6,middle
3df4234c-dc3c-40cd-bc7a-27fb816de5c9,42,7.66,5.27,middle
589dfd1d-e0cb-46b2-b6c2-def64fb186d4,63,25.91,9.62,high
1ce710d3-1f51-4fb4-b760-bbcd08375129,27,1.71,3.52,low
3370a8f5-3768-4e7a-befd-4b20733b9151,32,10.23,5.74,middle
54793571-0b74-4ba9-a841-52cfbbf74734,28,3.61,1.4,low
8fb4059f-815f-4dbc-8373-7ed8fde21ca3,22,4.21,1.18,low
aa68e49e-b2e0-40b4-bb34-9af5889ed553,22,2.58,2.72,low
a94c8343-75a8-42d3-87e0-1767fa89adeb,26,2.74,3.73,low
786a3685-ca0c-405f-ab62-4860cbd79697,20,2.03,3.44,low
a8b8a34d-da12-47ec-a7fd-d49c7307026e,44,9.78,5.99,middle
6254cf75-654d-4d4f-a2fe-47bc3510b42e,39,16.95,8.91,high
f846ad0c-63ed-41d4-b9ef-30c83d391922,33,9.67,7.6,middle
8f046b6e-35e8-4d9b-b688-5b88d3fe27c4,34,9.74,4.63,middle
c191d4e5-8258-4cdf-8b49-794198e6bc64,36,11.91,5.2,middle
7ed63ef3-4a84-4350-af81-5b06f37cb13b,33,8.2,5.21,middle
f0a99b71-d45e-4fff-99e8-6c640f15efcc,40,5.75,5.53,middle
efa30a3b-46fa-4304-b9ce-98e003b77a19,43,7.07,6.8,middle
43cf5765-7a05-48dc-9ca9-04ef56384662,28,2.69,1.03,low
106fd4b4-c23c-4059-a413-b2f0985daa0d,59,25.66,7.15,high
022c3be3-3bae-4911-87b4-6ff09160ee97,58,21.44,9.71,high
dd607107-fc86-45b9-9685-3d57d89ad301,32,9.25,5.41,middle
4f4a1d58-b171-476b-b344-d0bab51b0ffe,41,23.56,9.03,high
5c48327e-c6bf-4443-97cd-8e10878455a3,59,24.21,9.52,high
63a080d4-de95-43c9-92fc-e277a20d4323,38,28.36,8.94,high
67a3e9a3-c677-4746-90e6-2ec90d84604a,39,5.23,5.46,middle
b2088e55-bb9e-4953-ba9b-50e03ec829a3,19,4.23,2.31,low
918105c7-9f5e-41e9-91d8-dc4dea41423a,30,6.41,7.15,middle
1d433a64-f20a-4f37-aa81-d4f4f6272681,41,8.51,5.09,middle
9dd7e2a3-4568-4a04-8fdd-ccc0f769be0c,22,4.24,4.78,low
2372b5d4-a204-4a16-8c26-d86b0d8ffb2c,35,10.63,5.87,middle
e3299242-e421-4d04-b49a-179319e8cc16,20,3.76,1.9,low
4d9a699c-bf6b-44e1-91e7-1ca3182de12d,58,24.46,8.19,high
c676c1b9-e794-47b1-baba-fbb59971aaed,46,14.54,8.18,high
4a4437a3-ec70-42d6-a605-9866b255b99f,42,5.87,5.47,middle
2d9c43ca-8625-4f40-bbf7-1db206170bce,56,17.46,8.14,high
ce4ef688-e19c-447a-a083-a60b1567e93b,65,19.32,9.02,high
d403cf4d-3957-4ce5-849a-40b505db0bf4,25,9.34,7.77,middle
3c61574a-96b7-4e7e-b5eb-7c7c6be3bca4,44,6.55,4.25,middle
8cf931ce-28c7-49cb-b549-3ab3ed6ea263,34,9.54,4.47,middle
d2389582-2053-4f54-af17-fdaef45497cd,18,2.41,2.97,low
d75b9864-b1f3-4ba3-89ff-eb277437e9ef,21,4.16,1.54,low
4522667d-d1de-4b77-a95b-774db29f0398,36,9.69,6.97,middle
b2ee2b10-21f7-4b7e-ae96-6aea87447f96,48,22.98,9.18,high
f1a690fd-b4a0-474a-bd73-83e69d646e55,45,5.69,5.96,middle
7089f3d8-5a93-4adf-9090-0a4f4f2e46c0,33,5.23,5.48,middle
34cdcb64-4190-47d1-aba5-2448485c1b54,39,11.65,7.42,middle
62bc991b-32a9-461a-ab85-3cd0081bb7f7,28,2.6,4.61,low
e0dda96f-0e03-471f-af10-e034fdb6e8ec,46,14.03,7.83,high
f7162917-baf7-45ab-8030-8165efe678e2,25,1.78,1.85,low
0188c4ca-20e2-4451-af34-d3f5597f660e,54,29.51,7.15,high
630096ca-5f60-4f53-9902-05a0fc846476,32,11.92,7.15,middle
d36ed1ed-c7cf-467c-bc82-ebcb7e77f70b,19,3.99,3.22,low
3ce593e2-a404-41f1-83a8-b4ea58cfaa08,41,26.82,7.7,high
a97fa46f-09d3-47da-8b52-dc9ef7a35cda,27,1.51,4.43,low
b152d71f-7ef3-4e9b-a93e-38b935e6512a,20,3.12,4.19,low
4f7073b8-fcef-468c-83dc-bf5150cd69e4,28,4.1,1.53,low
ee41787c-383a-46dd-a6b9-a893bbb2d01b,32,9.12,4.06,middle
413831e8-c7d5-4486-a9cf-24a8079b1905,26,5.89,5.68,middle
58c641cb-5760-444a-80e2-1f4e7dc131c6,19,2.93,4.11,low
518e8f5a-61e9-41c6-b3e3-4c73805dead6,53,14.85,8.51,high
f0437eb5-80dd-43c9-a89d-e38c9485d843,36,25.36,9.73,high
7988c4d0-8577-40b8-a913-a5915e55febe,51,18.13,8.93,high
72c02d48-40b1-4033-95c3-89e9236739f8,18,4.5,4.39,low
78e43fdb-059c-45dc-9d2e-a79df9b383d7,28,8.43,7.64,middle
2cb39f77-cb9b-4d33-9a11-61d6c5ce131e,19,2.47,1.59,low
98279b2a-73fe-486a-a5c5-e440ea68326a,22,3.37,3.34,low
1a119993-470a-4acd-b554-c620569bf150,45,19.48,8.79,high
07907ae6-0331-4574-92bb-694c07cbd48d,39,8.54,5.72,middle
8768b634-dc8e-4dfa-8393-7aab23d135ae,38,27.5,8.95,high
1328af3e-5806-48ca-b9c9-5cb56cf488e8,58,27.71,8.29,high
8bbd875b-d551-4df0-837f-408b16783ddb,24,2.52,2.81,low
30856be2-fc90-464a-aa58-2fd6f3aa9697,28,7.19,5.25,middle
455ac333-8222-4510-93ba-4d59d9c0751d,36,11.68,6.75,middle
10781dbd-7fd0-484d-b63e-6092d845e1d3,27,5.64,4.34,middle
d92f07a6-59f3-43eb-9366-97fdb18391bb,28,10.21,5.49,middle
d8e1f023-9ba9-4a5c-86cc-65cf5a8f4ce3,26,1.68,4.83,low
f17b4492-9394-4f6f-abe7-54566c75b3e3,45,24.39,8.23,high
4860c5c9-5002-468c-abb7-583abc12c032,65,25.75,9.6,high
968043a0-4200-4ba5-b930-3ef603401804,36,29.46,8.8,high
e7e5d7fa-1f57-4fc0-98ef-95e3c2b9192d,28,9.05,4.85,middle
c95e7e09-79a6-4b50-81ea-1b2a28cb03b0,50,16.81,7.32,high
7b599f12-f5b8-42c6-8146-ec4005c5e090,46,14.95,7.84,high
5fcc5905-4481-4886-a953-a9700e5a68b9,24,4.04,4.9,low
f7b554aa-879a-4cc6-8109-524ef5d1cef3,54,24.47,8.67,high
05da6b93-c7b8-4d51-b47f-5330ee9cff93,64,24.18,9.08,high
3853af1d-4349-456a-b5bd-eed7b8598feb,20,2.32,4.05,low
ed9fec49-87a9-40a1-8c10-71f166f11ddb,36,5.04,7.48,middle
cb0e9875-1659-4a25-9994-b45d8c33033f,56,19.81,7.43,high
1c02858e-4a65-4a40-9ac0-60e73afc1f65,35,14.56,8.59,high
296b9efd-3865-46aa-a01f-79626a78b549,38,8.18,4.63,middle
7aabb3f3-eee4-4fa7-822a-a05aa52054e3,35,10.44,6.27,middle
58e1f4e0-8945-4cd4-96ee-a1be82c85909,18,1.97,4.02,low
3ac0e8f8-e08d-4231-9cb5-dd47964599fb,28,1.74,2.77,low
c247d289-6748-47ac-bf16-249c88dbf6ba,40,9.25,5.66,middle
0fa5f7e7-8c40-4c11-a917-d2b21eeb4613,26,1.84,2.72,low
d3258fac-70b4-4b56-adfb-2395de491b3f,43,8.41,6.67,middle
770cd681-8eb7-483e-9ff5-01b627bfce9a,21,2.69,3.4,low
a5e8bb3a-c524-47bd-9fc3-af2ae8416599,21,2.4,1.84,low
